BF,dataset,dim,size,nonlinearity,mean,harmonic_mean,standard_deviation,median,MSE_PRSM_1,RMSE_PRSM_1,MAE_PRSM_1,MSE_PRSM_2,RMSE_PRSM_2,MAE_PRSM_2,gradient1,gradient2,gradient3,gradient4
BF1,BF1_1,2,12,0.775000478,-4.63E-17,9.228196512,1,-0.484774066,0.949375215,0.974358874,0.759961373,0.124478182,0.352814657,0.321011276,-0.124139849,0.005022893,0.336154433,0.001854925
BF1,BF1_2,2,24,0.429622353,0,-1.109784662,1,-0.480995024,0.67466934,0.821382578,0.676502643,0.089452049,0.299085354,0.258358352,0.018984931,0.041958169,0.112244798,0.007096747
BF1,BF1_3,2,36,0.757667345,3.85E-17,-0.683982967,1,-0.337987377,0.941274884,0.97019322,0.714250504,0.240650409,0.490561321,0.400077168,0.016934315,0.038203325,0.142703313,0.004533512
BF1,BF1_4,2,48,0.525753358,5.55E-17,-0.473197732,1,-0.37398932,0.775090122,0.880392028,0.62965258,0.230247565,0.479841188,0.362201634,-0.022239738,0.029819709,0.194145067,0.003415912
BF1,BF1_5,2,60,0.351713257,-1.30E-17,-0.260443106,1,-0.410563305,0.579724299,0.761396282,0.58311445,0.17429712,0.417489066,0.308126813,0.022986414,0.026973056,0.153402814,0.004041737
BF1,BF1_6,2,72,0.65849664,-1.60E-16,-11.13258214,1,-0.367896515,0.883375455,0.939880554,0.669128754,0.209498797,0.457710386,0.342594061,-0.017136491,0.024216943,0.144079915,0.0028803
BF1,BF1_7,2,84,0.602341596,3.04E-17,-1.3104334,1,-0.400953976,0.841867794,0.917533538,0.662151912,0.267993484,0.51768087,0.413087518,0.001387842,0.013028965,0.164686645,0.000109797
BF1,BF1_8,2,96,0.651593344,-6.48E-17,-0.86721753,1,-0.31056852,0.878612802,0.937343481,0.75232973,0.29200175,0.540371862,0.438874838,0.002395842,0.013772171,0.110920045,0.000297475
BF1,BF1_9,2,108,0.523909455,-3.08E-17,-0.146814615,1,-0.350568847,0.773337793,0.879396266,0.624435896,0.251375542,0.501373655,0.398107293,-0.005505447,0.019524622,0.131790545,0.000815626
BF1,BF1_10,2,120,0.61566585,3.33E-17,0.167099182,1,-0.432910481,0.852287261,0.923194054,0.695005825,0.250751055,0.500750492,0.396731826,-0.003133491,0.0243219,0.119641411,0.000637007
BF2,BF2_1,2,12,0.377531482,1.85E-16,-0.27564088,1,-0.427337489,0.612532945,0.782644839,0.684512858,0.05018204,0.224013481,0.190550747,0.073602605,0.055245201,0.409413898,0.009931736
BF2,BF2_2,2,24,0.691139285,-9.25E-17,-3.067411263,1,-0.436342407,0.904605059,0.95110728,0.714001297,0.29661277,0.544621676,0.461509842,-0.045374691,0.007440048,0.470554709,0.00071743
BF2,BF2_3,2,36,0.830417963,-2.44E-16,0.070980975,1,-0.32522406,0.971241933,0.985516074,0.754769101,0.543999611,0.737563293,0.551283341,-0.010391137,0.001503434,0.349621639,4.47E-05
BF2,BF2_4,2,48,0.86756386,1.02E-16,-0.68305624,1,-0.415118957,0.982460669,0.99119154,0.777780312,0.451602433,0.672013715,0.514984471,0.064562028,0.004929791,0.283004599,0.001124636
BF2,BF2_5,2,60,0.982285177,-1.11E-17,-0.862732714,1,-0.357679756,0.999686185,0.99984308,0.691674952,0.529024684,0.72734083,0.56590811,-0.007877445,0.012917043,0.368230035,0.000276331
BF2,BF2_6,2,72,0.836471843,0,-1.438691575,1,-0.280192996,0.973258542,0.986538667,0.650087358,0.485074639,0.696473,0.522008421,-0.023049028,0.003450241,0.33118359,0.000240123
BF2,BF2_7,2,84,0.90032531,-1.95E-17,-0.040702579,1,-0.317655403,0.990064956,0.995020078,0.688647396,0.565335729,0.75188811,0.571614807,-0.013520498,0.006275989,0.343137174,0.00024729
BF2,BF2_8,2,96,0.918174534,4.16E-17,-0.820156169,1,-0.328644592,0.993304593,0.996646674,0.714323714,0.560116277,0.748409164,0.556904143,-0.037611099,0.010278928,0.317325565,0.001218313
BF2,BF2_9,2,108,0.947869022,1.05E-16,-0.627911541,1,-0.300864396,0.997282361,0.998640256,0.70386863,0.565689092,0.752123056,0.571763604,0.005992241,0.014210632,0.324199262,0.000262658
BF2,BF2_10,2,120,0.893328456,2.59E-17,-0.734093841,1,-0.283931529,0.988621182,0.994294313,0.721550911,0.545468058,0.738558094,0.554802074,-0.006739595,0.007529202,0.269599082,0.000188219
BF3,BF3_1,2,12,0.381706219,4.63E-17,-0.299338791,1,-0.365032859,0.617712801,0.785947072,0.602935885,0.132832598,0.364462067,0.309258567,0.214336458,0.013558798,0.428449311,0.006782937
BF3,BF3_2,2,24,0.439473798,9.25E-18,-22.07590792,1,-0.442757938,0.685810377,0.82813669,0.584358579,0.369499751,0.607864912,0.430592653,0.032559361,0.029125207,0.235006732,0.004035196
BF3,BF3_3,2,36,0.36112156,6.17E-17,-0.492101318,1,-0.393995598,0.591834339,0.769307701,0.5760123,0.203657221,0.45128397,0.347824052,0.025387584,0.023330624,0.189779891,0.003121027
BF3,BF3_4,2,48,0.368103463,-4.16E-17,-0.283633669,1,-0.437880989,0.600706766,0.775052751,0.628821223,0.215540709,0.46426362,0.36217747,0.014903326,0.014121168,0.157231907,0.001338484
BF3,BF3_5,2,60,0.422695969,7.40E-17,-0.761147206,1,-0.315130879,0.666720056,0.816529275,0.539554414,0.335078817,0.578859928,0.39715094,0.051918514,0.003438258,0.180138833,0.000990954
BF3,BF3_6,2,72,0.461402589,0,-0.284626383,1,-0.350496704,0.709912829,0.842563249,0.5736751,0.366234127,0.605172808,0.423262211,0.041475552,0.007463078,0.179712259,0.001722394
