Surrogate model,dataset,Surrogate modeling method,accuracy,robustness,time
BF1_1PRSM_1,BF1_1,PRSM_1,-2.355423028,0.19218019,3.3942
BF1_2PRSM_1,BF1_2,PRSM_1,-0.26927641,0.19218019,3.7904
BF1_3PRSM_1,BF1_3,PRSM_1,-0.48888287,0.19218019,2.7495
BF1_4PRSM_1,BF1_4,PRSM_1,-2.724271367,0.19218019,10.2562
BF1_5PRSM_1,BF1_5,PRSM_1,-2.192377052,0.19218019,8.7492
BF1_6PRSM_1,BF1_6,PRSM_1,-0.068403198,0.19218019,10.3968
BF1_7PRSM_1,BF1_7,PRSM_1,-0.108986349,0.19218019,9.7701
BF1_8PRSM_1,BF1_8,PRSM_1,0.007186567,0.19218019,9.4854
BF1_9PRSM_1,BF1_9,PRSM_1,-0.023900214,0.19218019,6.9445
BF1_10PRSM_1,BF1_10,PRSM_1,-0.125215799,0.19218019,8.4165
BF2_1PRSM_1,BF2_1,PRSM_1,-12.02731114,0.19218019,1.6358
BF2_2PRSM_1,BF2_2,PRSM_1,-0.848942535,0.19218019,1.7149
BF2_3PRSM_1,BF2_3,PRSM_1,-0.369541157,0.19218019,1.8704
BF2_4PRSM_1,BF2_4,PRSM_1,-0.611432343,0.19218019,10.9882
BF2_5PRSM_1,BF2_5,PRSM_1,-0.725265476,0.19218019,12.958
BF2_6PRSM_1,BF2_6,PRSM_1,-1.015332902,0.19218019,19.9235
BF2_7PRSM_1,BF2_7,PRSM_1,-0.292441026,0.19218019,17.1684
BF2_8PRSM_1,BF2_8,PRSM_1,-0.244509472,0.19218019,15.7743
BF2_9PRSM_1,BF2_9,PRSM_1,-0.738953705,0.19218019,12.8435
BF2_10PRSM_1,BF2_10,PRSM_1,-0.470334279,0.19218019,11.789
BF3_1PRSM_1,BF3_1,PRSM_1,-197.4363679,0.19218019,1.8856
BF3_2PRSM_1,BF3_2,PRSM_1,0.33007408,0.19218019,2.2705
BF3_3PRSM_1,BF3_3,PRSM_1,0.43838965,0.19218019,1.9855
BF3_4PRSM_1,BF3_4,PRSM_1,-0.412172661,0.19218019,7.2183
BF3_5PRSM_1,BF3_5,PRSM_1,-4.218252999,0.19218019,13.0711
BF3_6PRSM_1,BF3_6,PRSM_1,-2.456036008,0.19218019,11.5181
BF3_7PRSM_1,BF3_7,PRSM_1,-0.842906343,0.19218019,20.2486
BF3_8PRSM_1,BF3_8,PRSM_1,-0.334385004,0.19218019,11.424
BF3_9PRSM_1,BF3_9,PRSM_1,-0.442756531,0.19218019,11.4164
BF3_10PRSM_1,BF3_10,PRSM_1,-0.823034018,0.19218019,10.3331
BF4_1PRSM_1,BF4_1,PRSM_1,-9366.152066,0.19218019,3.3051
BF4_2PRSM_1,BF4_2,PRSM_1,-0.370127466,0.19218019,3.1653
BF4_3PRSM_1,BF4_3,PRSM_1,-58960.79484,0.19218019,8.982
BF4_4PRSM_1,BF4_4,PRSM_1,-2.42E+11,0.19218019,8.0127
BF4_5PRSM_1,BF4_5,PRSM_1,-11.51910014,0.19218019,7.6237
